Country or area	ISO Code	Data source category	Reference date (dd/mm/yyyy)	Average household size (number of members)	1 member	2-3 members	4-5 members	6 or more members	Female head of household (percentage of households)	Under 20 years (aged 0-19)	Aged 20-64 years	Aged 60 years or over	Aged 65 years or over	Under 15 years (aged 0-14)	Under 18 years (aged 0-17)	Under 20 years (aged 0-19)	Aged 60 years or over	Aged 65 years or over	Under 15 years AND 60 years or over	Under 15 years AND 65 years or over	Under 18 years AND 60 years or over	Under 18 years AND 65 years or over	Under 20 years AND 60 years or over	Under 20 years AND 65 years or over	Under age 15 years among all households	Under age 15 years among households with at least one member under age 15 years	Under age 20 years among all households	Under age 20 years among households with at least one member under age 20 years	Ages 20-64 years among all households	One-person	Couple only	Couple with children	Single parent with children	Single mother with children	Single father with children	Extended family	Non-relatives	Unknown	Nuclear	Multi-generation	Three generation	Skip generation
Angola	24	DHS	01/01/2016	4.82	10.81	23.90	28.46	36.83	34.47	1.85	88.40	12.85	7.88	75.72	78.31	79.82	14.94	9.75	8.14	4.92	8.73	5.28	8.97	5.42	2.41	3.09	2.87	3.49	1.82	10.81	5.34	36.08	13.39	12.14	1.25	32.80	1.57	0.01	54.81	17.54	13.34	3.28
Armenia	51	DHS	05/02/2016	3.54	15.19	36.17	32.30	16.34	33.18	0.08	67.73	45.25	32.19	38.55	44.09	46.98	51.52	37.64	16.69	11.06	19.05	13.04	20.25	14.03	0.68	1.75	0.87	1.85	2.20	15.19	13.42	27.17	7.37	6.74	0.63	35.75	1.10	0.00	47.96	54.30	29.84	0.91
Australia	36	DYB	01/07/2016	2.55	NA	NA	NA	NA	44.07	0.59	74.88	32.71	24.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.83	24.39	29.45	9.93	NA	NA	NA	NA	13.39	63.77	NA	NA	NA
Bermuda	60	DYB	01/07/2016	2.26	34.09	48.39	15.81	1.70	55.47	0.14	75.85	33.78	24.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.09	16.78	18.63	10.40	NA	NA	NA	NA	20.10	45.81	NA	NA	NA
Burundi	108	DHS	22/12/2016	4.83	6.04	25.17	31.72	37.07	28.72	0.59	88.06	18.18	11.33	80.89	84.68	86.98	19.33	12.31	11.13	6.79	12.69	7.67	13.49	8.12	2.33	2.87	2.80	3.22	1.89	6.04	3.07	47.67	14.76	13.51	1.25	20.61	7.85	0.00	65.50	19.51	8.90	4.12
Canada	124	DYB	01/07/2016	2.45	28.20	49.59	19.20	3.02	39.85	0.29	74.80	34.42	24.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.20	25.80	26.51	8.85	NA	NA	NA	NA	10.65	61.16	NA	NA	NA
China. Hong Kong SAR	344	DYB	01/07/2016	2.83	18.29	50.89	27.55	3.27	37.84	0.28	75.91	34.43	23.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.29	15.46	36.66	11.86	NA	NA	NA	NA	17.73	63.98	NA	NA	NA
China. Macao SAR	446	DYB	01/07/2016	3.07	15.13	48.16	31.06	5.64	NA	0.00	0.00	0.00	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.13	14.60	36.50	9.00	NA	NA	NA	NA	24.77	60.10	NA	NA	NA
Ethiopia	231	DHS	07/04/2016	4.61	7.52	27.01	32.00	33.47	25.36	1.18	84.09	23.39	14.68	78.33	82.05	84.91	27.47	18.31	18.96	12.08	20.67	13.24	21.59	13.79	2.16	2.75	2.57	3.03	1.83	7.52	4.77	47.07	11.65	10.25	1.40	25.37	3.63	0.00	63.48	22.52	11.67	4.09
Iran (Islamic Republic of)	364	DYB	01/07/2016	NA	8.48	49.13	37.86	4.53	12.69	0.23	85.33	20.98	14.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
