Entity,Code,Year,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate)
Afghanistan,AFG,2015,9.447661386713214
Afghanistan,AFG,2016,9.346730598226989
Afghanistan,AFG,2017,9.319113990673797
Afghanistan,AFG,2018,9.251599861848334
Afghanistan,AFG,2019,9.251599861848334
Albania,ALB,2015,5.196816017421632
Albania,ALB,2016,5.216570182910869
Albania,ALB,2017,5.1910832889368255
Albania,ALB,2018,5.1555791065945815
Albania,ALB,2019,5.108780608470021
Algeria,DZA,2015,4.349270120454093
Algeria,DZA,2016,4.329456577276137
Algeria,DZA,2018,4.187814700214089
Algeria,DZA,2019,4.12430646193392
American Samoa,ASM,2015,6.663810971134486
American Samoa,ASM,2016,6.684827127764758
American Samoa,ASM,2017,6.792609724878695
American Samoa,ASM,2018,6.753623477370727
American Samoa,ASM,2019,6.738544883871505
Andean Latin America,,2015,5.555712041007107
Andean Latin America,,2016,5.555712041007107
Andean Latin America,,2017,5.467845591408218
Andean Latin America,,2018,5.410889213020925
Andean Latin America,,2019,5.3897304691662695
Andorra,AND,2015,8.290929386526129
Andorra,AND,2016,8.083799954684824
Andorra,AND,2017,7.967667371052503
Andorra,AND,2018,7.944369505043817
Andorra,AND,2019,7.912272825130796
Angola,AGO,2015,12.740104784941169
Angola,AGO,2016,12.335099860015674
Angola,AGO,2017,12.169014682016732
Angola,AGO,2018,11.988163869286755
Angola,AGO,2019,11.966305347435878
Antigua and Barbuda,ATG,2015,2.659581833268507
Antigua and Barbuda,ATG,2016,2.6775671497862943
Antigua and Barbuda,ATG,2017,2.6825006871484764
Antigua and Barbuda,ATG,2018,2.66448170217984
Antigua and Barbuda,ATG,2019,2.6501244964816064
Argentina,ARG,2015,11.074010405223703
Argentina,ARG,2016,10.820288684217376
Argentina,ARG,2017,10.570320576512202
Argentina,ARG,2018,10.627445853661275
Argentina,ARG,2019,10.609681948258855
Armenia,ARM,2015,8.60233867733516
Armenia,ARM,2016,8.517576391146385
Armenia,ARM,2017,8.522066347590416
Armenia,ARM,2018,8.46402359304092
Armenia,ARM,2019,8.263799266107089
Australasia,,2015,10.630708263539947
Australasia,,2016,10.959645798937117
Australasia,,2017,11.22540327966081
Australasia,,2018,11.097692570154301
Australasia,,2019,11.08220908044785
Australia,AUS,2015,10.533589553159171
Australia,AUS,2016,10.96272686071075
Australia,AUS,2017,11.277802198153564
Australia,AUS,2018,11.081869871307234
Australia,AUS,2019,11.04688494037095
Austria,AUT,2015,11.891660917507098
Austria,AUT,2016,11.841427022802556
Austria,AUT,2017,11.770476394482765
Austria,AUT,2018,11.420545843824016
Austria,AUT,2019,11.202156990304271
Azerbaijan,AZE,2015,4.436538839359101
Azerbaijan,AZE,2016,4.332896802410021
Azerbaijan,AZE,2017,4.202942846986658
Azerbaijan,AZE,2018,4.107187878409732
Azerbaijan,AZE,2019,4.071032014236347
Bahamas,BHS,2015,3.1193034188201745
Bahamas,BHS,2016,3.156458365046876
Bahamas,BHS,2017,3.1618598384902312
Bahamas,BHS,2019,3.1722992298635755
Bahrain,BHR,2015,4.436463463339525
Bahrain,BHR,2016,4.272502953999336
Bahrain,BHR,2017,4.268414685814541
Bahrain,BHR,2018,4.249785573974734
Bahrain,BHR,2019,4.227149675562664
Bangladesh,BGD,2015,6.427481479852913
Bangladesh,BGD,2016,6.427481479852913
Bangladesh,BGD,2017,6.217116213282447
Bangladesh,BGD,2018,6.040776809287505
Bangladesh,BGD,2019,6.032121179318565
Barbados,BRB,2015,3.9530202329366535
Barbados,BRB,2016,3.9351246306471106
Barbados,BRB,2017,3.9529142666765296
Barbados,BRB,2018,3.9580510064224965
Barbados,BRB,2019,3.9742716215229006
Belarus,BLR,2015,22.566442140920426
Belarus,BLR,2016,21.095539973217694
Belarus,BLR,2017,19.585320299204454
Belarus,BLR,2018,18.854178878344445
Belarus,BLR,2019,19.03487290650899
Belgium,BEL,2015,15.629296788064764
Belgium,BEL,2016,15.070784242938355
Belgium,BEL,2017,14.909187057337197
Belgium,BEL,2018,14.422614984832611
Belgium,BEL,2019,14.275318768978694
Belize,BLZ,2015,7.484311897309873
Belize,BLZ,2016,7.4246516787673436
Belize,BLZ,2017,7.526193195147982
Belize,BLZ,2018,7.784886233484072
Belize,BLZ,2019,7.832833879731758
Benin,BEN,2015,11.666196617177974
Benin,BEN,2016,11.53343465841881
Benin,BEN,2017,11.383383065052708
Benin,BEN,2018,11.234851155325906
Benin,BEN,2019,11.137863321642245
Bermuda,BMU,2015,3.58295293070081
Bermuda,BMU,2016,3.5059364803554156
Bermuda,BMU,2017,3.4674612086155463
Bermuda,BMU,2019,3.4284433373722014
Bhutan,BTN,2015,5.944346872329549
Bhutan,BTN,2016,5.892241137710404
Bhutan,BTN,2017,5.837235718148275
Bhutan,BTN,2018,5.784970547800259
Bhutan,BTN,2019,5.7177993656393475
Bolivia,BOL,2015,6.640963112404266
Bolivia,BOL,2016,6.544666330315894
Bolivia,BOL,2017,6.4903743617884455
Bolivia,BOL,2018,6.445286497463929
Bolivia,BOL,2019,6.410848412431798
Bosnia and Herzegovina,BIH,2015,6.632646979224703
Bosnia and Herzegovina,BIH,2016,7.00726837805586
Bosnia and Herzegovina,BIH,2017,7.002741071424037
Bosnia and Herzegovina,BIH,2018,6.933259918807785
Bosnia and Herzegovina,BIH,2019,6.847151392935528
Botswana,BWA,2015,10.48915983975525
Botswana,BWA,2016,10.423718571549191
Botswana,BWA,2017,10.326023308021849
Botswana,BWA,2018,10.120453310880238
Botswana,BWA,2019,10.007560640926409
Brazil,BRA,2015,6.033516729547021
Brazil,BRA,2016,5.996477591754446
Brazil,BRA,2017,5.9798261606418714
Brazil,BRA,2018,6.0700501938100775
Brazil,BRA,2019,6.089304369940514
Brunei,BRN,2015,6.049181635918098
Brunei,BRN,2016,6.0915695994546
Brunei,BRN,2017,6.09852828763138
Brunei,BRN,2018,6.123049516585154
Brunei,BRN,2019,6.2249635350928845
Bulgaria,BGR,2015,8.961946892767717
Bulgaria,BGR,2016,9.271611188938131
Bulgaria,BGR,2017,9.24062290038697
Bulgaria,BGR,2018,9.373283872294191
Bulgaria,BGR,2019,9.480819739050064
Burkina Faso,BFA,2015,13.147625133341691
Burkina Faso,BFA,2016,13.227144609102666
Burkina Faso,BFA,2017,13.26031207015843
Burkina Faso,BFA,2018,13.29497398851134
Burkina Faso,BFA,2019,13.211110451826679
Burundi,BDI,2015,13.094205376440238
Burundi,BDI,2016,12.925318531848665
Burundi,BDI,2017,12.815605952466505
Burundi,BDI,2018,12.673712227365607
Burundi,BDI,2019,12.617335731511531
Cambodia,KHM,2015,4.682565064996354
Cambodia,KHM,2016,4.649401144221036
Cambodia,KHM,2017,4.620922372038541
Cambodia,KHM,2018,4.590873787051586
Cambodia,KHM,2019,4.54430265351793
Cameroon,CMR,2015,14.88178806464255
Cameroon,CMR,2016,14.699431821360383
Cameroon,CMR,2017,14.441415008188637
Cameroon,CMR,2018,14.262693659874005
Cameroon,CMR,2019,14.029937549465512
Canada,CAN,2015,11.167734121938139
Canada,CAN,2016,11.167734121938139
Canada,CAN,2017,11.316168461035485
Canada,CAN,2018,11.065493408182176
Canada,CAN,2019,10.905194829915548
Cape Verde,CPV,2015,17.14589476175809
Cape Verde,CPV,2016,17.03131767977602
Cape Verde,CPV,2017,16.905312534799517
Cape Verde,CPV,2018,16.810545127698113
Cape Verde,CPV,2019,16.76617486159914
Caribbean,,2015,9.328629105226636
Caribbean,,2016,9.305709367091064
Caribbean,,2017,9.43798451601583
Caribbean,,2018,9.507754431833915
Caribbean,,2019,9.487861269840227
Central African Republic,CAF,2015,17.359532528704193
Central African Republic,CAF,2016,17.252182465702692
Central African Republic,CAF,2017,17.17502715714074
Central African Republic,CAF,2018,17.0538984328589
Central African Republic,CAF,2019,16.926897366659137
Central Asia,,2015,12.371890510036454
Central Asia,,2016,11.999089564392786
Central Asia,,2017,11.619002559615769
Central Asia,,2018,11.527527754358823
Central Asia,,2019,11.479390463708313
Central Europe,,2015,12.533692867840996
Central Europe,,2016,12.172755292271237
Central Europe,,2018,11.81816001744155
Central Europe,,2019,11.650324088131196
"Central Europe, Eastern Europe, and Central Asia",,2015,19.380956447405023
"Central Europe, Eastern Europe, and Central Asia",,2016,19.235672526647974
"Central Europe, Eastern Europe, and Central Asia",,2017,19.50211574285105
"Central Europe, Eastern Europe, and Central Asia",,2018,18.811922311060663
"Central Europe, Eastern Europe, and Central Asia",,2019,18.361786658411674
Central Latin America,,2015,6.0714374697583375
Central Latin America,,2016,6.0714374697583375
Central Latin America,,2017,6.083487547363886
Central Latin America,,2018,6.194532450384959
Central Latin America,,2019,6.225884432990051
Central Sub-Saharan Africa,,2015,12.15323929634686
Central Sub-Saharan Africa,,2016,12.065649517836796
Central Sub-Saharan Africa,,2017,12.031827027464281
Central Sub-Saharan Africa,,2018,11.981466496827725
Central Sub-Saharan Africa,,2019,11.990583171247467
Chad,TCD,2015,11.35690947686278
Chad,TCD,2016,11.242520355947295
Chad,TCD,2017,11.12817763710455
Chad,TCD,2018,11.05716501357167
Chad,TCD,2019,11.023555933449682
Chile,CHL,2015,10.236230588119787
Chile,CHL,2016,10.105458150138674
Chile,CHL,2017,10.10631238046463
Chile,CHL,2018,10.147604371033426
Chile,CHL,2019,10.138964176247889
China,CHN,2015,7.636712475439903
China,CHN,2016,7.540028585797194
China,CHN,2017,7.420151367647718
China,CHN,2018,7.255174144116428
China,CHN,2019,7.2061700183464295
Colombia,COL,2015,5.324915143862357
Colombia,COL,2016,5.455652666091838
Colombia,COL,2017,5.4791300652068
Colombia,COL,2018,5.540307678380669
Colombia,COL,2019,5.525540638581571
Comoros,COM,2015,8.38735215330049
Comoros,COM,2016,8.366746008785565
Comoros,COM,2017,8.349143563614534
Comoros,COM,2018,8.343457119034838
Comoros,COM,2019,8.317069457158418
Congo,COG,2015,13.954205302042421
Congo,COG,2016,13.970434165314272
Congo,COG,2017,13.971576131046884
Congo,COG,2018,13.932943359152496
Congo,COG,2019,14.037733794355322
Costa Rica,CRI,2015,7.112510287212628
Costa Rica,CRI,2016,6.984768700447537
Costa Rica,CRI,2017,7.4291349764901975
Costa Rica,CRI,2018,7.785396682191582
Costa Rica,CRI,2019,7.803471526986828
Cote d'Ivoire,CIV,2015,14.562409502839374
Cote d'Ivoire,CIV,2016,14.467963218316255
Cote d'Ivoire,CIV,2017,14.28521142581299
Cote d'Ivoire,CIV,2019,13.859903239805067
Croatia,HRV,2015,11.845546451590772
Croatia,HRV,2016,11.851634481926222
Croatia,HRV,2017,12.080679498885539
Croatia,HRV,2018,11.303063297778886
Croatia,HRV,2019,11.059530617987996
Cuba,CUB,2015,10.907657276789989
Cuba,CUB,2016,10.776358792014246
Cuba,CUB,2017,11.065374227494894
Cuba,CUB,2018,11.215046934321435
Cuba,CUB,2019,11.288785495689469
Cyprus,CYP,2015,4.707553632690647
Cyprus,CYP,2016,4.722949630781502
Cyprus,CYP,2017,4.699221642196221
Cyprus,CYP,2018,4.638157858151797
Cyprus,CYP,2019,4.630150260439427
Czech Republic,CZE,2015,12.0831073413121
Czech Republic,CZE,2016,11.46695524907587
Czech Republic,CZE,2017,11.184923365861938
Czech Republic,CZE,2018,10.91706347719219
Czech Republic,CZE,2019,10.766627563401785
Democratic Republic of Congo,COD,2015,11.557043957675392
Democratic Republic of Congo,COD,2016,11.559467550335972
Democratic Republic of Congo,COD,2017,11.564054771513756
Democratic Republic of Congo,COD,2018,11.557615510154077
Democratic Republic of Congo,COD,2019,11.579851574922746
Denmark,DNK,2015,8.866468897506401
Denmark,DNK,2016,8.666310123652826
Denmark,DNK,2017,8.45216673782384
Denmark,DNK,2018,8.66188617882549
Denmark,DNK,2019,8.800279746370906
