nome, nels,runtime_leaves, runtime_tot, bandwidth
./sorting_counting_HALFparallel_merge_with_repetitionV3, 524288,0.35648, 3.04621, 177.769
./sorting_counting_HALFparallel_merge_with_repetitionV3, 1048576,0.704672, 6.23888, 197.051
./sorting_counting_HALFparallel_merge_with_repetitionV3, 1572864,1.05395, 9.69219, 209.896
./sorting_counting_HALFparallel_merge_with_repetitionV3, 2097152,1.42838, 13.1374, 210.628
./sorting_counting_HALFparallel_merge_with_repetitionV3, 2621440,1.7848, 16.7687, 223.817
./sorting_counting_HALFparallel_merge_with_repetitionV3, 3145728,2.14221, 20.162, 226.086
./sorting_counting_HALFparallel_merge_with_repetitionV3, 3670016,2.49798, 23.8236, 225.175
./sorting_counting_HALFparallel_merge_with_repetitionV3, 4194304,2.79757, 26.5787, 232.81
./sorting_counting_HALFparallel_merge_with_repetitionV3, 4718592,3.20752, 31.2, 239.174
./sorting_counting_HALFparallel_merge_with_repetitionV3, 5242880,3.56454, 35.2227, 236.59
./sorting_counting_HALFparallel_merge_with_repetitionV3, 5767168,3.84429, 37.7449, 244.531
./sorting_counting_HALFparallel_merge_with_repetitionV3, 6291456,4.27469, 42.0326, 240.848
./sorting_counting_HALFparallel_merge_with_repetitionV3, 6815744,4.54365, 44.6496, 246.899
./sorting_counting_HALFparallel_merge_with_repetitionV3, 7340032,4.9881, 49.8734, 238.698
./sorting_counting_HALFparallel_merge_with_repetitionV3, 7864320,5.34506, 50.8383, 253.432
./sorting_counting_HALFparallel_merge_with_repetitionV3, 8388608,5.69917, 56.9222, 241.064
./sorting_counting_HALFparallel_merge_with_repetitionV3, 8912896,6.0519, 60.3924, 257.502
./sorting_counting_HALFparallel_merge_with_repetitionV3, 9437184,6.40918, 64.7428, 254.892
./sorting_counting_HALFparallel_merge_with_repetitionV3, 9961472,6.76454, 67.5767, 258.956
./sorting_counting_HALFparallel_merge_with_repetitionV3, 10485760,7.12154, 72.2708, 255.249
./sorting_counting_HALFparallel_merge_with_repetitionV3, 11010048,7.06486, 72.3551, 268.24
./sorting_counting_HALFparallel_merge_with_repetitionV3, 11534336,7.5376, 77.6477, 262.445
./sorting_counting_HALFparallel_merge_with_repetitionV3, 12058624,7.73741, 80.015, 266.874
./sorting_counting_HALFparallel_merge_with_repetitionV3, 12582912,8.54707, 78.41, 288.854
