nome, nels,runtime_leaves, runtime_tot, bandwidth
./sorting_counting_parallel_merge, 524288,0.35632, 1.19226, 571.994
./sorting_counting_parallel_merge, 1048576,0.718528, 2.56042, 592.066
./sorting_counting_parallel_merge, 1572864,1.0752, 4.00432, 619.002
./sorting_counting_parallel_merge, 2097152,1.43123, 5.40368, 620.839
./sorting_counting_parallel_merge, 2621440,1.78397, 6.99274, 643.847
./sorting_counting_parallel_merge, 3145728,2.0992, 8.30976, 655.984
./sorting_counting_parallel_merge, 3670016,2.49853, 9.90851, 648.045
./sorting_counting_parallel_merge, 4194304,2.79766, 11.2359, 656.118
./sorting_counting_parallel_merge, 4718592,3.20883, 13.2647, 665.789
./sorting_counting_parallel_merge, 5242880,3.49606, 14.5339, 678.575
./sorting_counting_parallel_merge, 5767168,3.91856, 16.245, 672.52
./sorting_counting_parallel_merge, 6291456,4.27558, 17.7578, 674.51
./sorting_counting_parallel_merge, 6815744,4.54141, 19.0888, 680.681
./sorting_counting_parallel_merge, 7340032,4.98893, 20.8767, 674.355
./sorting_counting_parallel_merge, 7864320,5.24493, 22.1266, 682.954
./sorting_counting_parallel_merge, 8388608,5.70314, 23.9988, 674.916
./sorting_counting_parallel_merge, 8912896,5.93808, 26.0484, 695.803
./sorting_counting_parallel_merge, 9437184,6.41024, 27.9447, 690.464
./sorting_counting_parallel_merge, 9961472,6.76611, 29.4815, 693.259
./sorting_counting_parallel_merge, 10485760,6.98403, 30.57, 705.048
./sorting_counting_parallel_merge, 11010048,7.4752, 32.6489, 695.705
./sorting_counting_parallel_merge, 11534336,7.68234, 33.7057, 707.06
./sorting_counting_parallel_merge, 12058624,8.18586, 35.7654, 699.394
./sorting_counting_parallel_merge, 12582912,8.38246, 36.8252, 709.502
./sorting_counting_parallel_merge, 13107200,8.89856, 39.2142, 695.137
./sorting_counting_parallel_merge, 13631488,9.07469, 40.171, 706.48
./sorting_counting_parallel_merge, 14155776,9.60982, 42.3326, 698.787
./sorting_counting_parallel_merge, 14680064,7.71805, 35.4958, 855.56
./sorting_counting_parallel_merge, 15204352,8.02982, 36.9602, 852.621
./sorting_counting_parallel_merge, 15728640,8.26573, 38.1384, 855.95
./sorting_counting_parallel_merge, 16252928,11.0346, 48.8769, 699.592
./sorting_counting_parallel_merge, 16777216,11.1739, 49.7905, 709.032
./sorting_counting_parallel_merge, 17301504,11.7462, 53.9838, 709.138
./sorting_counting_parallel_merge, 17825792,11.8701, 54.7611, 720.787
./sorting_counting_parallel_merge, 18350080,12.2226, 56.3527, 722.402
./sorting_counting_parallel_merge, 18874368,12.8164, 58.7856, 714.517
./sorting_counting_parallel_merge, 19398656,12.9194, 59.5324, 725.408
./sorting_counting_parallel_merge, 19922944,13.5231, 62.0051, 717.43
./sorting_counting_parallel_merge, 20447232,13.615, 62.6724, 728.799
./sorting_counting_parallel_merge, 20971520,14.2397, 65.2324, 720.199
./sorting_counting_parallel_merge, 21495808,14.453, 66.2693, 727.534
./sorting_counting_parallel_merge, 22020096,14.9484, 68.6488, 720.158
./sorting_counting_parallel_merge, 22544384,11.8476, 56.745, 883.095
./sorting_counting_parallel_merge, 23068672,12.1213, 58.0187, 885.144
./sorting_counting_parallel_merge, 23592960,12.4539, 59.578, 882.862
./sorting_counting_parallel_merge, 24117248,16.0588, 74.1611, 732.91
./sorting_counting_parallel_merge, 24641536,16.7311, 76.9239, 723.75
./sorting_counting_parallel_merge, 25165824,15.0221, 70.473, 803.349
./sorting_counting_parallel_merge, 25690112,15.3293, 72.4378, 797.246
./sorting_counting_parallel_merge, 26214400,15.0944, 71.5566, 823.803
./sorting_counting_parallel_merge, 26738688,14.0517, 67.7694, 884.234
./sorting_counting_parallel_merge, 27262976,14.3933, 69.3456, 882.317
./sorting_counting_parallel_merge, 27787264,14.6, 70.6106, 883.275
./sorting_counting_parallel_merge, 28311552,14.8733, 71.7271, 887.561
./sorting_counting_parallel_merge, 28835840,15.2228, 73.3851, 884.603
./sorting_counting_parallel_merge, 29360128,15.4282, 74.4658, 888.264
./sorting_counting_parallel_merge, 29884416,15.7751, 76.2594, 883.41
./sorting_counting_parallel_merge, 30408704,15.9804, 77.314, 887.354
./sorting_counting_parallel_merge, 30932992,16.2564, 78.6461, 888.255
./sorting_counting_parallel_merge, 31457280,17.8978, 90.538, 776.598
./sorting_stablecounting_parallel_merge, 524288,0.29696, 0.994112, 685.863
./sorting_stablecounting_parallel_merge, 1048576,0.589824, 2.10582, 719.34
./sorting_stablecounting_parallel_merge, 1572864,0.877632, 3.27933, 754.938
./sorting_stablecounting_parallel_merge, 2097152,1.1735, 4.44963, 752.794
./sorting_stablecounting_parallel_merge, 2621440,1.8464, 6.9888, 652.156
./sorting_stablecounting_parallel_merge, 3145728,2.25754, 8.54365, 648.099
./sorting_stablecounting_parallel_merge, 3670016,2.63357, 10.0508, 647.41
./sorting_stablecounting_parallel_merge, 4194304,2.95085, 11.3892, 656.111
./sorting_stablecounting_parallel_merge, 4718592,3.3832, 13.4485, 665.165
./sorting_stablecounting_parallel_merge, 5242880,3.68835, 14.7262, 678.575
./sorting_stablecounting_parallel_merge, 5767168,4.13213, 16.461, 672.384
./sorting_stablecounting_parallel_merge, 6291456,4.5081, 17.9852, 674.768
./sorting_stablecounting_parallel_merge, 6815744,4.7913, 19.3286, 681.15
./sorting_stablecounting_parallel_merge, 7340032,5.2609, 21.1487, 674.357
./sorting_stablecounting_parallel_merge, 7864320,5.52838, 22.4196, 682.568
./sorting_stablecounting_parallel_merge, 8388608,6.01203, 24.3245, 674.295
