nome, nels, runtime, bandwidth
sorting_counting_HALF.csv, 1048576, 47.406, 29.2402
sorting_counting_HALF.csv, 1048576, 46.6098, 29.773
sorting_counting_HALF.csv, 1048576, 47.2764, 29.3324
sorting_counting_HALF.csv, 1024, 0.07528, 3.86707
sorting_counting_HALF.csv, 2048, 0.09144, 7.08428
sorting_counting_HALF.csv, 4096, 0.13736, 12.2705
sorting_counting_HALF.csv, 8192, 0.3096, 15.138
sorting_counting_HALF.csv, 16384, 0.54544, 17.6292
sorting_counting_HALF.csv, 32768, 1.18176, 19.3208
sorting_counting_HALF.csv, 65536, 2.35976, 22.3378
sorting_counting_HALF.csv, 131072, 5.05104, 23.7952
sorting_counting_HALF.csv, 262144, 10.5651, 25.9369
sorting_counting_HALF.csv, 1048576, 47.1106, 29.4251
sorting_counting_HALF.csv, 524288, 22.9336, 26.8783
sorting_counting_HALF.csv, 2097152, 101.57, 30.4037
sorting_counting_HALF.csv, 4194304, 215.477, 31.8725
sorting_counting_HALF.csv, 8388608, 455.254, 33.053
sorting_counting_HALF.csv, 16777216, 958.587, 34.4773
sorting_counting_HALF.csv, 33554432, 2014.29, 35.7917
sorting_counting_HALF.csv, 67108864, 4252.95, 37.0828
