QueryID,numnodesQuery,numedgesQuery,numnodesTarget,numedgesTarget,matchNumber,tNum_occtTime (secs)
0110001100000010,4,5,23000,2673133,0,24.854
0010100101001000,4,5,23000,2673133,0,24.55
0110001100000010,4,5,10000,204369,0,0.554
0010100101001000,4,5,10000,204369,0,0.59
0110001100000010,4,5,2000,39264,8296,0.279
0010100101001000,4,5,2000,39264,47563,4.207
0110001100000010,4,5,63731,1269502,28734,5.441
0010100101001000,4,5,63731,1269502,0,4.274
0110001100000010,4,5,11500,415912,203952,0.81
0010100101001000,4,5,11500,415912,80467,0.711
0110001100000010,4,5,42390,1,0,0.02
0010100101001000,4,5,42390,1,0,0.003
0110001100000010,4,5,101000,0,0,0.038
0010100101001000,4,5,101000,0,0,0.003
0110001100000010,4,5,403,70261,131547,0.648
0010100101001000,4,5,403,70261,25822,0.505
0110001100000010,4,5,28200,4596803,0,31.03
0010100101001000,4,5,28200,4596803,0,31.019
0110001100000010,4,5,219,1283194,7256239,58.021
0010100101001000,4,5,219,1283194,0,0.119
0110001100000010,4,5,899,33720,0,0.151
0010100101001000,4,5,899,33720,0,0.066
0110001100000010,4,5,88000,1148072,2231,1.887
0010100101001000,4,5,88000,1148072,1718,19.154
0110001100000010,4,5,132000,841372,0,5.693
0010100101001000,4,5,132000,841372,0,5.439
