algoritmo,execTime,numNodes,numEdges
Mackeys,0.224987,3,3
Mackeys,0.216865,4,3
Mackeys,0.204648,5,5
Mackeys,0.204012,6,5
Mackeys,0.240924,7,13
Mackeys,0.198408,8,17
Mackeys,0.312502,9,19
Mackeys,0.2039,10,25
Mackeys,0.393011,11,29
Mackeys,0.202686,12,37
Mackeys,0.205747,13,39
Mackeys,0.203736,14,35
Mackeys,0.202478,15,50
Mackeys,0.204204,16,51
Mackeys,0.241719,17,60
Mackeys,0.202115,18,56
Mackeys,0.204319,19,71
Mackeys,0.246533,20,65
Mackeys,0.266448,21,83
Mackeys,0.300723,22,122
Mackeys,0.311704,23,71
Mackeys,0.202752,24,92
Mackeys,0.204165,25,104
Mackeys,0.373212,26,136
Mackeys,0.240682,27,121
Mackeys,0.398231,28,131
Mackeys,0.24053,29,93
Mackeys,0.482028,30,167
Mackeys,0.241098,31,145
Mackeys,0.203418,32,163
Mackeys,0.248664,33,139
Mackeys,0.248127,34,215
Mackeys,0.243392,35,273
Mackeys,0.203835,36,222
Mackeys,0.206387,37,210
Mackeys,0.202446,38,181
Mackeys,0.311832,39,274
Mackeys,0.241784,40,207
Mackeys,0.2021,41,259
Mackeys,0.20526,42,210
Mackeys,0.24383,43,200
Mackeys,0.23694,44,378
Mackeys,0.325498,45,288
Mackeys,0.245156,46,329
Mackeys,0.237958,47,279
Mackeys,0.199995,48,352
Mackeys,0.232159,49,433
Mackeys,0.203018,50,297
Mackeys,0.205534,51,349
Mackeys,0.31474,52,312
Mackeys,0.443343,53,391
Mackeys,0.309497,54,482
Mackeys,0.201895,55,409
Mackeys,0.204843,56,410
Mackeys,0.237671,57,353
Mackeys,0.249528,58,411
Mackeys,0.511865,59,481
Mackeys,0.201164,60,716
Mackeys,0.243981,61,455
Mackeys,0.296616,62,436
Mackeys,0.208762,63,504
Mackeys,0.205991,64,625
Mackeys,0.238489,65,561
Mackeys,0.201477,66,598
Mackeys,0.237955,67,565
Mackeys,0.238842,68,618
Mackeys,0.207559,69,733
Mackeys,0.308583,70,687
Mackeys,0.20597,71,665
Mackeys,0.207891,72,782
Mackeys,0.205454,73,669
Mackeys,0.205738,74,609
Mackeys,0.250963,75,857
Mackeys,0.309499,76,619
Mackeys,0.246751,77,788
Mackeys,0.207214,78,757
Mackeys,0.249905,79,708
Mackeys,0.251115,80,741
Mackeys,0.239046,81,831
Mackeys,0.237172,82,837
