algoritmo,execTime,numNodes,numEdges
Mackey,0.449389,100,164
Mackey,0.001266,200,202
Mackey,0.003443,300,315
Mackey,0.002141,400,905
Mackey,0.002402,500,1125
Mackey,0.003488,600,1741
Mackey,0.004485,700,728
Mackey,0.01149,800,918
Mackey,0.004765,900,940
Mackey,0.004915,1000,1643
Mackey,0.004445,1100,1227
Mackey,0.004808,1200,1407
Mackey,0.019529,1300,3358
Mackey,0.008923,1400,1402
Mackey,0.010212,1500,2302
Mackey,0.005636,1600,1616
Mackey,0.006733,1700,2666
Mackey,0.011915,1800,3375
Mackey,0.011551,1900,2866
Mackey,0.014452,2000,2821
Mackey,0.008167,2100,9770
Mackey,0.012008,2200,7234
Mackey,0.01364,2300,4873
Mackey,0.023887,2400,5181
Mackey,0.015054,2500,2534
Mackey,0.010501,2600,2620
Mackey,0.054813,2700,4058
Mackey,0.021364,2800,2979
Mackey,0.023527,2900,5318
Mackey,0.012387,3000,6805
Mackey,0.056241,3100,4685
Mackey,0.015571,3200,13512
Mackey,0.022758,3300,6613
Mackey,0.019664,3400,6246
Mackey,0.01508,3500,8404
Mackey,0.033169,3600,8615
Mackey,0.026184,3700,6152
Mackey,0.088618,3800,11721
Mackey,0.104754,3900,12548
Mackey,0.038271,4000,6564
Mackey,0.098971,4100,16541
Mackey,0.111861,4200,6887
Mackey,0.016193,4300,7257
Mackey,0.070139,4400,16544
Mackey,0.040058,4500,4547
Mackey,0.049422,4600,6857
Mackey,0.051843,4700,18712
Mackey,0.054867,4800,4865
Mackey,0.136661,4900,7505
Mackey,0.058354,5000,19778
Mackey,0.079954,5100,7980
Mackey,0.226797,5200,15858
Mackey,0.024386,5300,9087
Mackey,0.181386,5400,21510
Mackey,0.079578,5500,21726
Mackey,0.179351,5600,16175
Mackey,0.116243,5700,18264
Mackey,0.187698,5800,13962
Mackey,0.118571,5900,10398
Mackey,0.122613,6000,6107
Mackey,0.145452,6100,6311
Mackey,0.193976,6200,6411
Mackey,0.271748,6300,10364
Mackey,0.134813,6400,25176
Mackey,0.251272,6500,25753
Mackey,0.165801,6600,24262
Mackey,0.215281,6700,25724
Mackey,0.214668,6800,26840
Mackey,0.362164,6900,27211
Mackey,0.164727,7000,27534
Mackey,0.10245,7100,7503
Mackey,0.18726,7200,23179
Mackey,0.21405,7300,8364
Mackey,0.185182,7400,15262
Mackey,0.220673,7500,14637
Mackey,0.265831,7600,26880
Mackey,0.260897,7700,29970
Mackey,0.189059,7800,12683
Mackey,0.181318,7900,22118
Mackey,0.142839,8000,17733
Mackey,0.264558,8100,19041
Mackey,0.164988,8200,9772
Mackey,0.259458,8300,17383
Mackey,0.281458,8400,17199
Mackey,0.263143,8500,13962
Mackey,0.311951,8600,16634
Mackey,0.325444,8700,18872
Mackey,0.299956,8800,9827
Mackey,0.342899,8900,33124
Mackey,0.327329,9000,10197
Mackey,0.292814,9100,14125
Mackey,0.361191,9200,30489
Mackey,0.382955,9300,31091
Mackey,0.375139,9400,17093
Mackey,0.264786,9500,10976
Mackey,0.445626,9600,32079
Mackey,0.303928,9700,19100
Mackey,0.45076,9800,35839
Mackey,0.376277,9900,19490
Mackey,0.293441,10000,26090
Mackey,0.551593,10100,37308
Mackey,0.379034,10200,22520
Mackey,0.482338,10300,12242
Mackey,0.366609,10400,35148
Mackey,0.483405,10500,12636
Mackey,0.442204,10600,37626
Mackey,0.399128,10700,34242
Mackey,0.382738,10800,14793
Mackey,0.349688,10900,35713
Mackey,0.4212,11000,20771
Mackey,0.433808,11100,39184
Mackey,0.597536,11200,40452
Mackey,0.692163,11300,37980
Mackey,0.72888,11400,30109
Mackey,0.451913,11500,39775
Mackey,0.457309,11600,39320
Mackey,0.730908,11700,31514
Mackey,0.706458,11800,41666
Mackey,0.567372,11900,41766
Mackey,0.463494,12000,42982
Mackey,0.766424,12100,43176
Mackey,0.494489,12200,43869
Mackey,0.770194,12300,34164
Mackey,0.391572,12400,44668
Mackey,0.445145,12500,44157
Mackey,0.593657,12600,45340
Mackey,0.531268,12700,45692
Mackey,0.802677,12800,44872
Mackey,0.474772,12900,47439
Mackey,0.793873,13000,31359
Mackey,0.799559,13100,46288
Mackey,0.552542,13200,48589
Mackey,0.737567,13300,45121
Mackey,0.547152,13400,36124
Mackey,0.558757,13500,44019
Mackey,0.609526,13600,47137
Mackey,0.57773,13700,49793
Mackey,0.82144,13800,48373
Mackey,0.808198,13900,50319
Mackey,0.756248,14000,48915
Mackey,0.548166,14100,43997
Mackey,0.595145,14200,43432
Mackey,0.443114,14300,51685
Mackey,0.430176,14400,49596
Mackey,0.818334,14500,49327
Mackey,0.611176,14600,45373
Mackey,0.425866,14700,51822
Mackey,0.418777,14800,50460
Mackey,0.847057,14900,52154
Mackey,0.824143,15000,49922
Mackey,0.41778,15100,53018
Mackey,0.768404,15200,53138
Mackey,0.833134,15300,51625
Mackey,0.729314,15400,53338
Mackey,0.729549,15500,53128
Mackey,0.829594,15600,51704
Mackey,0.580963,15700,54307
Mackey,0.835595,15800,47315
Mackey,0.907805,15900,53845
Mackey,0.785571,16000,47786
Mackey,0.856562,16100,54054
Mackey,0.826621,16200,48504
Mackey,0.543398,16300,54412
Mackey,0.839715,16400,54354
Mackey,0.717425,16500,54455
Mackey,0.807685,16600,54556
Mackey,0.85411,16700,54656
Mackey,0.843314,16800,54850
Mackey,0.856915,16900,57220
Mackey,0.847136,17000,55862
Mackey,0.846601,17100,52879
Mackey,0.829467,17200,57797
Mackey,0.737334,17300,53315
Mackey,0.835063,17400,58535
Mackey,0.565235,17500,54825
Mackey,0.652706,17600,58952
Mackey,0.790974,17700,54201
Mackey,0.853972,17800,58836
Mackey,0.664781,17900,58016
Mackey,0.843176,18000,58287
Mackey,0.842217,18100,55621
Mackey,0.847235,18200,58187
Mackey,0.881096,18300,55506
Mackey,0.626977,18400,55713
Mackey,0.741529,18500,60680
Mackey,0.873842,18600,56193
Mackey,0.8987,18700,60056
Mackey,0.888536,18800,59063
Mackey,0.817321,18900,60013
Mackey,0.893916,19000,60672
Mackey,0.896614,19100,61675
Mackey,0.939326,19200,60565
Mackey,0.81361,19300,58403
Mackey,0.760301,19400,62115
Mackey,0.82618,19500,60640
Mackey,0.798102,19600,59866
Mackey,0.869811,19700,61595
Mackey,0.897446,19800,59983
Mackey,0.879923,19900,61401
Mackey,0.876479,20000,62656
Mackey,0.879156,20100,61922
Mackey,0.88879,20200,63225
Mackey,0.901601,20300,62174
Mackey,0.871058,20400,62956
Mackey,0.870169,20500,62419
Mackey,0.915269,20600,63645
Mackey,0.886541,20700,63483
Mackey,0.901793,20800,63356
Mackey,0.904527,20900,63896
Mackey,0.826493,21000,63609
Mackey,0.828283,21100,63627
Mackey,0.873726,21200,63995
Mackey,0.838162,21300,63880
Mackey,0.901845,21400,63344
Mackey,0.887824,21500,63946
Mackey,0.900449,21600,63676
Mackey,0.922462,21700,64968
Mackey,0.94406,21800,64370
Mackey,0.919168,21900,65033
Mackey,0.888998,22000,64777
Mackey,0.964245,22100,64914
Mackey,0.922263,22200,64852
Mackey,0.908851,22300,65634
Mackey,0.941773,22400,65901
Mackey,0.917327,22500,65578
Mackey,0.874238,22600,65720
Mackey,0.870952,22700,66209
Mackey,0.92118,22800,65963
Mackey,0.931472,22900,66545
Mackey,0.950749,23000,66235
Mackey,0.92379,23100,66196
Mackey,0.922794,23200,66036
Mackey,0.947494,23300,66679
Mackey,0.940012,23400,66912
Mackey,0.940773,23500,67148
Mackey,0.982616,23600,67180
Mackey,0.957638,23700,67092
Mackey,0.93782,23800,67388
Mackey,0.924056,23900,67472
Mackey,0.937916,24000,67574
Mackey,0.939395,24100,67713
Mackey,0.944172,24200,67813
Mackey,0.951014,24300,67824
TemporalRI,0.021,100,164
TemporalRI,0.002,200,202
TemporalRI,0.002,300,315
TemporalRI,0.021,400,905
TemporalRI,0.016,500,1125
TemporalRI,0.021,600,1741
TemporalRI,0.002,700,728
TemporalRI,0.002,800,918
TemporalRI,0.001,900,940
TemporalRI,0.013,1000,1643
TemporalRI,0.006,1100,1227
TemporalRI,0.002,1200,1407
TemporalRI,0.057,1300,3358
TemporalRI,0,1400,1402
TemporalRI,0.004,1500,2302
TemporalRI,0.001,1600,1616
TemporalRI,0.009,1700,2666
TemporalRI,0.032,1800,3375
TemporalRI,0.006,1900,2866
TemporalRI,0.003,2000,2821
TemporalRI,0.136,2100,9770
TemporalRI,0.139,2200,7234
TemporalRI,0.033,2300,4873
TemporalRI,0.084,2400,5181
TemporalRI,0.003,2500,2534
TemporalRI,0.002,2600,2620
TemporalRI,0.005,2700,4058
TemporalRI,0.004,2800,2979
TemporalRI,0.071,2900,5318
TemporalRI,0.051,3000,6805
TemporalRI,0.028,3100,4685
TemporalRI,0.135,3200,13512
TemporalRI,0.033,3300,6613
TemporalRI,0.027,3400,6246
TemporalRI,0.05,3500,8404
TemporalRI,0.039,3600,8615
TemporalRI,0.009,3700,6152
TemporalRI,0.084,3800,11721
TemporalRI,0.082,3900,12548
TemporalRI,0.008,4000,6564
TemporalRI,0.119,4100,16541
TemporalRI,0.01,4200,6887
TemporalRI,0.022,4300,7257
TemporalRI,0.121,4400,16544
TemporalRI,0,4500,4547
TemporalRI,0.006,4600,6857
TemporalRI,0.151,4700,18712
TemporalRI,0.002,4800,4865
TemporalRI,0.002,4900,7505
TemporalRI,0.164,5000,19778
TemporalRI,0.004,5100,7980
TemporalRI,0.111,5200,15858
TemporalRI,0.047,5300,9087
TemporalRI,0.153,5400,21510
TemporalRI,0.149,5500,21726
TemporalRI,0.098,5600,16175
TemporalRI,0.144,5700,18264
TemporalRI,0.151,5800,13962
TemporalRI,0.066,5900,10398
TemporalRI,0.002,6000,6107
TemporalRI,0.001,6100,6311
TemporalRI,0.001,6200,6411
TemporalRI,0.008,6300,10364
TemporalRI,0.212,6400,25176
TemporalRI,0.179,6500,25753
TemporalRI,0.16,6600,24262
TemporalRI,0.188,6700,25724
TemporalRI,0.207,6800,26840
TemporalRI,0.193,6900,27211
TemporalRI,0.169,7000,27534
TemporalRI,0.001,7100,7503
TemporalRI,0.143,7200,23179
TemporalRI,0.007,7300,8364
TemporalRI,0.049,7400,15262
TemporalRI,0.033,7500,14637
TemporalRI,0.168,7600,26880
TemporalRI,0.276,7700,29970
TemporalRI,0.007,7800,12683
TemporalRI,0.148,7900,22118
TemporalRI,0.084,8000,17733
TemporalRI,0.082,8100,19041
TemporalRI,0.007,8200,9772
TemporalRI,0.064,8300,17383
TemporalRI,0.049,8400,17199
TemporalRI,0.01,8500,13962
TemporalRI,0.036,8600,16634
TemporalRI,0.086,8700,18872
TemporalRI,0.005,8800,9827
TemporalRI,0.297,8900,33124
TemporalRI,0.007,9000,10197
TemporalRI,0.025,9100,14125
TemporalRI,0.207,9200,30489
TemporalRI,0.195,9300,31091
TemporalRI,0.033,9400,17093
TemporalRI,0.006,9500,10976
TemporalRI,0.238,9600,32079
TemporalRI,0.049,9700,19100
TemporalRI,0.252,9800,35839
TemporalRI,0.063,9900,19490
TemporalRI,0.461,10000,26090
TemporalRI,0.346,10100,37308
TemporalRI,0.103,10200,22520
TemporalRI,0.01,10300,12242
TemporalRI,0.267,10400,35148
TemporalRI,0.009,10500,12636
TemporalRI,0.256,10600,37626
TemporalRI,0.253,10700,34242
TemporalRI,0.036,10800,14793
TemporalRI,0.418,10900,35713
TemporalRI,0.08,11000,20771
TemporalRI,0.379,11100,39184
TemporalRI,0.311,11200,40452
TemporalRI,0.283,11300,37980
TemporalRI,0.19,11400,30109
TemporalRI,0.309,11500,39775
TemporalRI,0.296,11600,39320
TemporalRI,0.183,11700,31514
TemporalRI,0.324,11800,41666
TemporalRI,0.33,11900,41766
TemporalRI,0.328,12000,42982
TemporalRI,0.37,12100,43176
TemporalRI,0.364,12200,43869
TemporalRI,0.241,12300,34164
TemporalRI,0.343,12400,44668
TemporalRI,0.34,12500,44157
TemporalRI,0.317,12600,45340
TemporalRI,0.3,12700,45692
TemporalRI,0.335,12800,44872
TemporalRI,0.369,12900,47439
TemporalRI,0.173,13000,31359
TemporalRI,0.353,13100,46288
TemporalRI,0.395,13200,48589
TemporalRI,0.359,13300,45121
TemporalRI,0.282,13400,36124
TemporalRI,0.344,13500,44019
TemporalRI,0.362,13600,47137
TemporalRI,0.375,13700,49793
TemporalRI,0.354,13800,48373
TemporalRI,0.386,13900,50319
TemporalRI,0.403,14000,48915
TemporalRI,0.327,14100,43997
TemporalRI,0.344,14200,43432
TemporalRI,0.435,14300,51685
TemporalRI,0.38,14400,49596
TemporalRI,0.355,14500,49327
TemporalRI,0.319,14600,45373
TemporalRI,0.422,14700,51822
TemporalRI,0.392,14800,50460
TemporalRI,0.425,14900,52154
TemporalRI,0.383,15000,49922
TemporalRI,0.376,15100,53018
TemporalRI,0.433,15200,53138
TemporalRI,0.469,15300,51625
TemporalRI,0.421,15400,53338
TemporalRI,0.387,15500,53128
TemporalRI,0.352,15600,51704
TemporalRI,0.444,15700,54307
TemporalRI,0.35,15800,47315
TemporalRI,0.413,15900,53845
TemporalRI,0.313,16000,47786
TemporalRI,0.382,16100,54054
TemporalRI,0.32,16200,48504
TemporalRI,0.358,16300,54412
TemporalRI,0.365,16400,54354
TemporalRI,0.361,16500,54455
TemporalRI,0.375,16600,54556
TemporalRI,0.437,16700,54656
TemporalRI,0.423,16800,54850
TemporalRI,0.461,16900,57220
TemporalRI,0.418,17000,55862
TemporalRI,0.369,17100,52879
TemporalRI,0.442,17200,57797
TemporalRI,0.371,17300,53315
TemporalRI,0.469,17400,58535
TemporalRI,0.412,17500,54825
TemporalRI,0.481,17600,58952
TemporalRI,0.396,17700,54201
TemporalRI,0.478,17800,58836
TemporalRI,0.388,17900,58016
TemporalRI,0.428,18000,58287
TemporalRI,0.438,18100,55621
TemporalRI,0.497,18200,58187
TemporalRI,0.384,18300,55506
TemporalRI,0.416,18400,55713
TemporalRI,0.43,18500,60680
TemporalRI,0.366,18600,56193
TemporalRI,0.449,18700,60056
TemporalRI,0.455,18800,59063
TemporalRI,0.462,18900,60013
TemporalRI,0.44,19000,60672
TemporalRI,0.432,19100,61675
TemporalRI,0.409,19200,60565
TemporalRI,0.391,19300,58403
TemporalRI,0.453,19400,62115
TemporalRI,0.469,19500,60640
TemporalRI,0.454,19600,59866
TemporalRI,0.444,19700,61595
TemporalRI,0.384,19800,59983
TemporalRI,0.413,19900,61401
TemporalRI,0.926,20000,62656
TemporalRI,0.65,20100,61922
TemporalRI,0.523,20200,63225
TemporalRI,0.484,20300,62174
TemporalRI,0.466,20400,62956
TemporalRI,0.439,20500,62419
TemporalRI,0.437,20600,63645
TemporalRI,0.423,20700,63483
TemporalRI,0.408,20800,63356
TemporalRI,0.444,20900,63896
TemporalRI,0.486,21000,63609
TemporalRI,0.536,21100,63627
TemporalRI,0.446,21200,63995
TemporalRI,0.441,21300,63880
TemporalRI,0.49,21400,63344
TemporalRI,0.506,21500,63946
TemporalRI,0.45,21600,63676
TemporalRI,0.416,21700,64968
TemporalRI,0.453,21800,64370
TemporalRI,0.465,21900,65033
TemporalRI,0.486,22000,64777
TemporalRI,0.444,22100,64914
TemporalRI,0.429,22200,64852
TemporalRI,0.444,22300,65634
TemporalRI,0.501,22400,65901
TemporalRI,0.536,22500,65578
TemporalRI,0.41,22600,65720
TemporalRI,0.416,22700,66209
TemporalRI,0.441,22800,65963
TemporalRI,0.494,22900,66545
TemporalRI,0.534,23000,66235
TemporalRI,0.505,23100,66196
TemporalRI,0.406,23200,66036
TemporalRI,0.423,23300,66679
TemporalRI,0.455,23400,66912
TemporalRI,0.489,23500,67148
TemporalRI,0.462,23600,67180
TemporalRI,0.485,23700,67092
TemporalRI,0.426,23800,67388
TemporalRI,0.442,23900,67472
TemporalRI,0.585,24000,67574
TemporalRI,0.486,24100,67713
TemporalRI,0.452,24200,67813
TemporalRI,0.439,24300,67824
TemporalRI,0.426,24400,68052
