tNum_occtTime (secs),dataset,algorithm,numedges,numnodes
1.838,Fb-forum,temporalRI,33720,899
0.12,Fb-forum,Temporal-motif,33720,899
9240.23,Ca-cit-HepPh,temporalRI,4596803,28200
312,Ca-cit-HepPh,Temporal-motif,4596803,28200
222.079,ia-enron-email-dynamic,temporalRI,1148072,88000
6.34,ia-enron-email-dynamic,Temporal-motif,1148072,88000
557.498,soc-epinions-trust-dir,temporalRI,841762,132000
12.34,soc-epinions-trust-dir,Temporal-motif,841762,132000
43.52,copresence-InVS15,temporalRI,1283194,219
7.14,copresence-InVS15,Temporal-motif,1283194,219
4034.253,Ca-cit-HepPh,temporalRI,2000233,10820
113,Ca-cit-HepPh,Temporal-motif,2000233,10820
183.234,ia-enron-email-dynamic,temporalRI,412034,100213
8.34,ia-enron-email-dynamic,Temporal-motif,412034,100213
714.21,soc-epinions-trust-dir,temporalRI,628349,152239
13.23,soc-epinions-trust-dir,Temporal-motif,628349,152239
44.56,copresence-InVS15,temporalRI,1883194,310
8.59,copresence-InVS15,Temporal-motif,1883194,310
20.23,Fb-forum,Mackey-TSI,33720,899
123456,Ca-cit-HepPh,Mackey-TSI,4596803,28200
900.123,ia-enron-email-dynamic,Mackey-TSI,1148072,88000
10920,soc-epinions-trust-dir,Mackey-TSI,841762,132000
43.52,copresence-InVS15,Mackey-TSI,1283194,219
4034.253,Ca-cit-HepPh,Mackey-TSI,2000233,10820
183.234,ia-enron-email-dynamic,Mackey-TSI,412034,100213
714.21,soc-epinions-trust-dir,Mackey-TSI,628349,152239
44.56,copresence-InVS15,Mackey-TSI,1883194,310
